x, y, z
4, 1, 225
4, 1, 225
2, 0, 205
4, 0, 219
2, 0, 219
2, 0, 218
1, 1, 217
2, 0, 218
2, 1, 218
3, 13, 218
10, 22, 219
5, 12, 217
2, -26, 217
2, -21, 218
3, 0, 216
3, 0, 218
3, 0, 217
3, -2, 217
4, -1, 215
2, 0, 216
3, -1, 217
3, -1, 219
4, -1, 220
2, 0, 217
0, 1, 217
2, 1, 218
2, -1, 217
1, 0, 218
2, -1, 219
2, -1, 219
3, 0, 218
3, -1, 217
2, -3, 219
4, -1, 218
3, -1, 219
4, -2, 219
3, -4, 222
2, -4, 221
4, -2, 218
2, 0, 217
2, 1, 216
3, 1, 218
3, 0, 217
2, 0, 219
4, 0, 217
1, -1, 221
2, -1, 219
2, 1, 215
3, -1, 217
1, 0, 217
3, -1, 217
3, 0, 217
3, -1, 220
3, -1, 219
2, -1, 215
2, 0, 212
3, 1, 216
5, 1, 219
3, -2, 218
2, -1, 221
2, 0, 219
3, 0, 218
3, -1, 218
2, 0, 216
3, -1, 219
3, 1, 219
2, 0, 218
2, -1, 220
3, 0, 218
3, -1, 220
2, -1, 221
2, -2, 217
4, -1, 216
3, -1, 220
2, 0, 218
2, 0, 220
3, 0, 218
1, 1, 216
3, -2, 217
4, -1, 216
4, 1, 219
3, -2, 221
4, 0, 220
4, 1, 216
3, 0, 219
3, -1, 217
4, 0, 223
2, -2, 219
2, -2, 220
3, -1, 219
3, -2, 219
3, 0, 219
4, -2, 219
2, 0, 220
2, 0, 218
3, -2, 220
2, 0, 220
2, 1, 216
3, 0, 218
2, -1, 219
3, -2, 217
5, -3, 220
5, 0, 216
3, -1, 215
4, 0, 218
3, -1, 218
2, 0, 215
2, 0, 216
2, -1, 218
2, 0, 217
2, 0, 218
3, -2, 220
3, -1, 217
4, -1, 219
2, -1, 219
3, 0, 218
3, 0, 218
4, -2, 220
2, 0, 219
3, 0, 218
4, -2, 218
3, -2, 221
3, 0, 218
3, 0, 216
2, -2, 218
3, 0, 219
3, -1, 220
2, -1, 219
2, 0, 217
2, 1, 218
3, 0, 218
3, 0, 218
2, 0, 216
3, 0, 217
2, -1, 218
6, -2, 218
3, -1, 220
3, -1, 220
1, 1, 220
2, -1, 217
4, -3, 218
5, -2, 218
3, 1, 218
4, -3, 219
3, -2, 218
3, -1, 219
1, -1, 219
2, 0, 218
2, -1, 216
3, 0, 218
3, -1, 218
3, -1, 218
1, 1, 217
3, 0, 218
3, -1, 219
2, 0, 219
3, 0, 218
3, 0, 219
2, 0, 217
3, -1, 218
3, 0, 216
3, 0, 218
4, -1, 216
3, -2, 218
4, -2, 218
4, -1, 218
3, 0, 218
4, -1, 217
3, -1, 219
3, -1, 219
2, 0, 219
4, 0, 217
3, 0, 218
2, -1, 219
3, 0, 218
3, -1, 216
1, 0, 219
1, 0, 219
3, 0, 218
2, 0, 216
1, 0, 218
1, 0, 218
2, -1, 221
3, 0, 217
2, 0, 219
3, 0, 217
3, -1, 221
3, -1, 220
2, 0, 218
4, -1, 218
3, -1, 217
3, -1, 217
5, -1, 218
3, -1, 219
3, 0, 217
2, -2, 221
3, 0, 219
3, -1, 218
4, 0, 218
1, 1, 218
3, 0, 216
4, -2, 218
2, -1, 219
4, -2, 220
4, -1, 219
3, -1, 221
3, -1, 217
2, -2, 221
2, -1, 218
4, 0, 217
