x,y,z
14, -9, 221
14, -9, 221
13, -13, 210
11, -10, 217
9, -11, 216
9, -11, 219
13, -11, 215
13, -10, 215
13, -12, 215
12, -12, 218
9, -13, 222
10, -12, 220
11, -11, 216
12, -9, 213
11, -9, 216
16, -11, 214
11, -16, 222
11, -10, 215
13, -12, 216
9, -11, 217
9, -8, 213
10, -6, 214
11, -11, 215
12, -12, 219
13, -15, 218
11, -11, 218
11, -13, 217
12, -14, 219
14, -17, 218
14, -14, 217
13, -14, 218
11, -13, 218
11, -12, 219
11, -13, 214
10, -10, 212
14, -10, 215
9, -10, 216
12, -14, 219
12, -14, 217
12, -13, 216
11, -8, 215
11, -8, 212
12, -11, 213
13, -11, 217
14, -15, 217
12, -15, 221
15, -11, 218
14, -11, 215
12, -12, 215
12, -13, 216
12, -13, 218
10, -10, 217
13, -11, 218
13, -12, 217
12, -13, 220
12, -11, 216
14, -12, 217
15, -12, 215
13, -11, 216
10, -12, 217
11, -13, 218
12, -14, 216
12, -13, 220
7, -8, 218
8, -10, 218
11, -9, 221
10, -8, 220
9, -8, 218
10, -7, 221
13, -7, 216
14, -12, 218
13, -15, 222
13, -16, 228
7, -15, 238
5, -19, 240
5, -22, 241
4, -20, 238
9, -18, 229
9, -19, 227
12, -16, 229
11, -14, 232
8, -8, 230
13, 1, 223
7, -7, 230
1, -3, 230
-12, -2, 230
-10, -5, 230
-21, 0, 215
-21, -4, 244
-14, -6, 229
-11, -21, 235
-9, -17, 231
-8, -6, 212
-18, -6, 216
-29, -9, 218
-52, -6, 217
-48, 6, 200
-51, 4, 213
-55, 3, 205
-43, -3, 209
-39, -9, 205
-39, -7, 201
-56, -5, 193
-77, -17, 208
-91, -23, 204
-91, -24, 201
-69, -27, 180
-71, -29, 191
-79, -46, 190
-85, -48, 189
-112, -49, 194
-126, -44, 189
-126, -42, 180
-108, -33, 178
-120, -53, 174
-130, -69, 173
-166, -77, 174
-174, -61, 164
-168, -65, 163
-150, -62, 149
-117, -67, 132
-112, -64, 128
-173, -68, 128
-227, -54, 118
-224, -56, 123
-196, -54, 109
-188, -54, 100
-189, -49, 90
-209, -53, 89
-216, -53, 82
-232, -43, 70
-234, -44, 69
-228, -57, 61
-220, -52, 56
-211, -55, 59
-219, -50, 52
-232, -57, 54
-230, -65, 50
-232, -66, 49
-235, -65, 23
-241, -63, 22
-242, -57, 27
-238, -58, 29
-235, -66, 27
-239, -70, 22
-243, -62, 15
-238, -53, 2
-229, -52, -4
-245, -61, 0
-249, -47, -2
-254, -34, -8
-247, -42, -11
-247, -40, -13
-245, -42, -14
-252, -51, -14
-239, -50, -18
-230, -57, -11
-242, -56, -13
-253, -53, -12
-252, -52, -11
-248, -58, -13
-246, -60, -18
-243, -61, -18
-251, -59, -16
-263, -50, -12
-263, -47, -13
-257, -53, -18
-247, -57, -12
-250, -56, -12
-257, -50, -9
-259, -51, -7
-256, -51, -8
-253, -47, -11
-251, -52, -10
-240, -63, -13
-245, -62, -8
-256, -56, -8
-251, -56, -10
-250, -56, -9
-251, -53, -10
-255, -53, -11
-257, -52, -7
-252, -53, -10
-249, -53, -12
-246, -52, -7
-245, -50, -8
-239, -52, -8
-244, -54, -6
-246, -53, -7
-252, -48, -6
-253, -46, -11
-257, -49, -3
-253, -47, -11
-244, -51, -13
-255, -47, -9
-256, -44, -13
-256, -52, -10
-254, -51, -10
-253, -48, -12
-247, -46, -15
-246, -47, -11
-244, -45, -10
-249, -44, -8
-249, -44, -9
-252, -44, -12
-258, -50, -8
-256, -51, -9
-252, -50, -12
-253, -51, -14
-248, -52, -9
-247, -48, -8
-245, -46, -8
-250, -50, -10
-248, -51, -10
-248, -46, -14
-255, -43, -10
-257, -43, -13
-255, -48, -10
-251, -51, -9
-246, -49, -10
-248, -48, -9
-248, -45, -12
-252, -45, -9
-255, -48, -8
-255, -49, -8
-253, -51, -8
-250, -53, -11
-247, -53, -13
-245, -53, -12
-247, -53, -11
-254, -49, -12
-255, -48, -10
-252, -51, -11
-251, -49, -14
-253, -45, -16
-253, -43, -15
-256, -42, -15
-255, -42, -17
-245, -43, -15
-244, -52, -14
-253, -53, -16
-271, -52, -19
-278, -50, -24
-274, -52, -23
-260, -50, -16
-237, -51, -11
-234, -52, -12
-241, -44, -8
-248, -43, -9
-244, -38, -2
-243, -41, 7
-236, -41, -8
-217, -41, -8
-213, -44, 1
-231, -48, 12
-245, -46, 40
-249, -21, 25
-252, -21, 35
-240, -19, 30
-236, -18, 36
-229, -30, 55
-231, -32, 61
-232, -40, 70
-238, -38, 81
-232, -25, 78
-226, -27, 80
-210, -29, 89
-201, -31, 101
-202, -26, 103
-198, -28, 108
-164, -22, 119
-160, -29, 126
-165, -28, 138
-169, -24, 141
-163, -19, 144
-154, -17, 163
-155, -11, 171
-151, -14, 168
-123, -6, 162
-116, -15, 164
-107, -22, 181
-104, -30, 197
-101, -19, 197
-108, -3, 192
-109, -4, 199
-108, -6, 200
-100, 0, 209
-94, 0, 208
-92, 5, 217
-94, 5, 218
-88, 12, 214
-79, 14, 206
-68, 11, 204
-63, 11, 216
-67, -4, 223
-63, -1, 213
-63, 5, 218
-56, 7, 206
-62, 7, 213
-61, 16, 212
-58, 8, 220
-56, 2, 223
-59, 2, 222
-53, 5, 224
-53, 11, 220
-52, 14, 218
-42, 16, 218
-40, 9, 219
-34, 6, 224
-27, -3, 226
-27, -3, 225
-28, 5, 221
-26, 13, 216
-26, 11, 214
-23, 8, 222
-24, 9, 219
-31, 5, 228
-30, 6, 224
-27, 7, 224
-26, 0, 224
-18, 6, 220
-23, 7, 222
-27, 4, 222
-26, 2, 225
-29, 0, 228
-25, 2, 222
-25, 1, 224
-20, 3, 220
-20, 3, 216
