x, y, z
4, 1, 224
4, 1, 224
1, 1, 209
2, 0, 216
4, 0, 218
3, 0, 218
1, 0, 217
2, 0, 219
4, -2, 219
2, 0, 217
2, 0, 219
2, 0, 218
3, 1, 220
3, 0, 218
2, 1, 220
2, 1, 220
2, 1, 218
3, 0, 216
2, 1, 217
3, 0, 219
5, 1, 216
3, 1, 216
2, -1, 217
3, 1, 218
3, 1, 217
2, 0, 216
4, 2, 215
2, 2, 214
3, -1, 221
2, 1, 215
3, -1, 218
4, 2, 214
2, 1, 216
2, -1, 216
-3, -20, 216
7, -15, 218
0, 3, 217
2, 3, 219
4, 2, 219
3, 4, 217
5, 8, 218
6, 3, 219
0, -10, 216
-4, -8, 220
2, 0, 220
4, 0, 217
2, 1, 219
3, 0, 218
4, 1, 215
3, 1, 217
2, 2, 220
7, 15, 216
3, 5, 219
-1, -14, 217
4, -1, 218
3, 1, 217
3, 1, 218
4, 0, 216
3, 1, 218
5, 10, 219
7, 45, 223
17, 89, 218
11, 20, 217
22, 62, 208
24, 51, 216
2, 27, 240
28, 54, 196
20, 46, 225
-2, 76, 203
32, 117, 197
107, 153, 199
31, 114, 236
17, 85, 214
16, 58, 198
-49, -40, 223
-51, -77, 211
-24, -115, 238
32, -118, 211
37, -104, 213
9, -58, 208
-20, -49, 214
-27, -86, 218
-21, -82, 218
-23, -29, 217
-32, -24, 218
4, 1, 220
5, 1, 217
10, -1, 217
7, -5, 216
10, 0, 220
2, -6, 218
-2, -10, 220
-5, -15, 219
0, -18, 218
2, -26, 218
-12, -55, 216
-10, -62, 221
0, -55, 213
5, -48, 218
-3, -42, 220
-38, -77, 212
-47, -120, 225
-7, -160, 218
42, -189, 233
47, -150, 212
69, -90, 222
35, -5, 193
20, 141, 227
-29, 139, 220
-17, 147, 253
1, 125, 230
30, 124, 223
23, 94, 220
30, 93, 233
23, 117, 233
14, 94, 219
11, 84, 216
8, 55, 219
1, 31, 217
9, 21, 220
11, 9, 219
4, 1, 220
4, -1, 217
3, 0, 217
3, 1, 220
1, 3, 219
3, 10, 219
6, 29, 218
5, 29, 221
4, 44, 220
13, 59, 213
25, 53, 220
8, 57, 217
9, 51, 229
11, 70, 215
13, 67, 227
14, 64, 218
21, 93, 215
28, 98, 218
28, 125, 213
-1, 106, 230
15, 93, 221
-36, 64, 234
-20, 34, 193
-8, -12, 214
15, -66, 220
1, -82, 205
5, -131, 220
2, -143, 212
-4, -150, 223
-2, -154, 220
5, -136, 215
-19, -127, 216
-21, -30, 219
-12, -8, 215
-4, 8, 217
6, 3, 219
4, 3, 218
3, -2, 216
-16, -20, 218
3, 0, 220
-4, -6, 219
9, 2, 222
16, 8, 216
8, 2, 220
11, -5, 218
10, -9, 217
9, -8, 218
8, -15, 217
4, -37, 216
-7, -45, 214
11, -53, 213
-18, -122, 220
-15, -131, 213
-26, -168, 208
-19, -185, 211
30, -174, 202
12, -98, 210
41, -47, 229
-15, 56, 208
16, 76, 239
-4, 166, 199
-21, 184, 216
-19, 149, 221
6, 125, 214
29, 119, 197
28, 95, 225
25, 87, 222
14, 94, 224
16, 95, 219
-7, 63, 218
17, 27, 218
5, 4, 218
14, 3, 217
7, 1, 219
3, 0, 216
3, 0, 219
8, 14, 222
6, 24, 220
12, 25, 219
14, 29, 220
18, 34, 223
23, 44, 226
14, 53, 218
12, 77, 214
9, 99, 216
-12, 95, 216
24, 113, 207
13, 109, 228
30, 99, 228
17, 100, 227
12, 102, 215
-18, 8, 219
-36, -4, 218
-35, -46, 222
-4, -58, 211
17, -97, 214
16, -104, 221
9, -101, 226
-2, -100, 223
0, -90, 220
-3, -83, 206
-3, -73, 206
-10, -85, 217
-14, -63, 217
-3, -19, 218
4, 0, 220
3, 3, 220
5, 2, 217
6, 1, 218
-5, 0, 216
4, -2, 219
2, -4, 218
1, -7, 217
3, -10, 214
2, -13, 220
-4, -37, 218
-6, -44, 216
-24, -72, 210
-28, -75, 216
-31, -103, 213
-28, -126, 211
1, -174, 221
21, -168, 198
49, -131, 199
15, -38, 209
-6, 7, 211
7, 71, 201
3, 65, 221
-1, 112, 214
17, 119, 226
18, 107, 229
31, 118, 216
27, 108, 217
-2, 88, 232
11, 94, 224
23, 85, 222
10, 76, 219
5, 64, 220
15, 37, 217
10, 18, 221
16, 14, 217
15, 7, 219
13, 3, 218
6, 0, 219
1, 2, 219
3, 1, 219
3, 0, 217
15, 29, 220
3, 27, 221
14, 29, 221
10, 37, 216
36, 50, 221
15, 58, 216
5, 68, 217
13, 73, 222
20, 77, 221
20, 68, 223
16, 89, 213
19, 108, 222
10, 100, 216
11, 95, 215
24, 83, 214
-12, 64, 218
-28, 30, 214
-20, -38, 230
-8, -69, 230
-7, -112, 214
11, -104, 203
9, -103, 218
-1, -113, 215
-10, -73, 219
-21, -78, 224
-28, -77, 217
-20, -68, 213
-4, -54, 221
-7, -33, 221
4, 3, 220
9, 4, 217
4, 5, 216
3, 3, 219
6, 1, 218
4, 2, 219
3, 1, 222
3, -1, 218
-12, -17, 217
-4, -25, 217
-10, -37, 215
-4, -52, 217
-5, -57, 212
4, -56, 215
9, -91, 219
-1, -111, 215
0, -141, 211
10, -161, 200
10, -146, 211
30, -129, 214
-33, -58, 215
-4, 9, 221
-25, 71, 239
4, 116, 231
-20, 87, 218
1, 106, 229
-5, 109, 217
9, 108, 219
16, 124, 217
8, 139, 219
8, 124, 214
-11, 92, 220
1, 33, 217
10, 16, 216
13, 7, 218
18, 8, 217
11, 2, 217
6, 0, 218
5, 0, 219
4, 2, 218
23, 63, 223
9, 49, 220
8, 54, 220
12, 54, 214
12, 56, 220
19, 82, 220
11, 76, 217
5, 84, 210
7, 96, 225
14, 102, 232
15, 123, 224
