x,y,z
10, 18, 218
-10, 17, 218
-9, 16, 217
-9, 19, 213
-9, 18, 218
-9, 17, 217
-9, 17, 218
-10, 17, 216
-9, 18, 219
-10, 18, 217
-9, 18, 216
-10, 19, 219
-10, 16, 220
-9, 16, 219
-10, 17, 218
-9, 20, 216
-9, 17, 216
-8, 18, 217
-8, 17, 217
-8, 17, 217
-8, 16, 218
-12, 16, 221
-9, 18, 216
-9, 17, 217
-10, 19, 216
-8, 16, 217
-10, 17, 218
-8, 20, 215
-10, 18, 216
-10, 19, 219
-9, 18, 216
-10, 17, 220
-12, 18, 219
-9, 18, 218
-11, 18, 220
-11, 16, 220
-9, 20, 215
-8, 18, 215
-8, 15, 216
-8, 16, 218
-10, 17, 216
-11, 19, 220
-10, 20, 220
-12, 19, 219
-11, 18, 217
-10, 19, 216
-11, 24, 216
-12, 24, 215
-9, 20, 215
-8, 20, 214
-7, 16, 219
-5, 17, 216
-6, 16, 215
-6, 15, 219
-7, 14, 219
-8, 15, 216
-7, 14, 221
-9, 14, 217
-9, 14, 216
-12, 19, 212
-10, 17, 216
-12, 19, 217
-13, 21, 219
-12, 19, 216
-9, 23, 215
-11, 16, 218
-10, 19, 218
-11, 19, 217
-8, 22, 217
-9, 19, 219
-7, 16, 215
-7, 18, 217
-11, 16, 219
-10, 16, 220
-9, 13, 222
-8, 16, 217
-9, 16, 217
-10, 17, 217
-9, 19, 217
-9, 17, 217
-8, 15, 215
-7, 13, 216
-8, 15, 216
-10, 18, 218
-8, 18, 218
-10, 16, 218
-10, 17, 218
-10, 19, 221
-9, 18, 219
-9, 18, 217
-9, 16, 218
-8, 17, 216
-9, 16, 220
-8, 17, 218
-10, 17, 219
-8, 18, 217
-9, 17, 214
-8, 18, 215
-9, 17, 215
-9, 18, 218
-10, 16, 217
-11, 19, 217
-8, 16, 219
-10, 18, 218
-11, 19, 218
-9, 17, 219
-10, 16, 219
-9, 18, 219
-9, 17, 219
-10, 17, 215
-9, 17, 218
-8, 16, 216
-9, 16, 217
-8, 16, 217
-10, 16, 218
-9, 17, 219
-9, 16, 217
-12, 15, 219
-9, 17, 216
-9, 15, 219
-9, 17, 222
-9, 18, 219
-10, 17, 221
-9, 16, 218
-9, 15, 218
-9, 14, 218
-10, 15, 218
-10, 17, 219
-9, 14, 217
-7, 14, 214
-8, 17, 214
-9, 18, 216
-8, 16, 218
-11, 16, 216
-8, 19, 216
-9, 18, 216
-7, 22, 212
-10, 17, 215
-9, 16, 217
-10, 17, 217
-10, 16, 217
-10, 16, 217
-11, 15, 219
-9, 16, 220
-7, 14, 219
-11, 19, 217
-10, 19, 219
-9, 20, 217
-8, 18, 216
-10, 16, 218
-10, 20, 219
-9, 18, 220
-13, 19, 218
