x, y, z
3, 1, 224
3, 1, 224
3, 1, 207
3, 1, 217
2, 0, 220
3, 0, 218
2, 0, 219
2, 0, 218
3, -1, 221
2, 0, 220
2, 1, 216
3, 1, 216
2, 2, 219
2, 2, 217
2, 0, 218
2, 0, 219
4, -1, 220
4, 0, 215
4, 0, 218
4, 1, 219
3, 0, 219
2, 0, 218
3, 2, 217
3, -1, 216
2, 0, 219
1, 1, 218
3, 1, 220
3, 2, 220
3, 0, 218
2, 1, 218
4, 1, 218
3, 1, 218
3, 1, 218
3, 0, 215
3, -1, 221
4, 0, 217
3, 3, 217
3, 1, 217
1, 1, 218
1, 2, 218
5, 3, 216
4, 3, 217
4, 2, 219
3, 0, 219
3, 1, 218
2, 3, 218
3, 1, 217
2, 1, 219
2, 1, 217
3, 0, 217
3, 1, 219
1, 0, 219
3, 0, 220
3, -1, 219
5, 0, 217
3, 0, 218
3, 0, 219
3, 1, 219
3, 2, 217
3, 0, 219
4, -1, 221
3, 1, 219
2, 0, 217
2, 1, 219
2, 1, 217
4, 0, 221
5, 0, 220
3, 0, 219
2, 0, 216
3, 0, 217
3, -1, 219
2, 0, 219
2, 0, 222
2, 0, 218
3, 2, 217
1, 2, 218
4, 0, 220
3, 2, 216
3, 0, 217
3, 1, 219
4, 3, 216
4, 1, 219
3, 1, 219
3, 2, 220
3, 1, 218
2, 1, 221
3, 1, 220
4, 1, 218
4, 2, 215
3, 0, 217
2, 1, 217
4, -1, 218
2, 0, 221
4, 1, 217
4, -1, 219
2, 1, 218
3, -1, 218
4, 2, 218
3, 0, 218
3, 0, 219
3, 0, 219
2, 1, 219
2, 2, 217
3, 1, 217
3, 1, 217
2, 2, 215
2, 2, 218
3, 1, 218
2, 2, 218
3, 1, 219
3, 1, 217
4, 2, 219
28, -5, 223
52, 20, 221
26, -1, 223
32, 4, 213
24, -2, 217
50, 10, 218
36, 14, 216
35, 8, 215
20, 0, 221
59, 2, 212
41, 0, 207
40, 3, 214
34, 3, 220
4, 8, 207
11, 2, 208
-18, -23, 215
-15, -12, 218
-2, -10, 214
-64, 16, 227
-26, 12, 223
-1, 16, 211
-54, 8, 227
-54, 6, 216
-47, 2, 215
-37, -7, 219
-34, -5, 222
-35, 2, 219
-20, -4, 216
3, 1, 220
-30, 12, 218
-58, 2, 216
-34, -8, 221
-18, -3, 221
-17, 1, 216
-26, 9, 220
-38, 10, 223
-35, 1, 217
-40, 1, 212
-47, -12, 229
-53, -10, 228
-35, -3, 223
-35, 11, 223
-42, 8, 227
-44, -17, 247
-20, -11, 217
9, -27, 225
25, -9, 204
34, -5, 214
54, 33, 205
58, 26, 212
59, 25, 213
39, 10, 218
65, 5, 217
72, -2, 223
75, 2, 218
71, -1, 224
53, -1, 214
