x, y, z
4, 3, 226
4, 3, 226
4, 2, 206
2, 1, 219
3, 1, 219
3, 2, 218
3, 1, 221
2, 2, 217
3, 0, 219
3, 1, 217
4, 0, 221
3, 0, 219
3, 2, 218
3, 1, 217
2, 1, 219
4, 3, 219
4, 1, 220
4, 2, 219
4, 3, 218
3, 2, 217
2, 2, 219
4, 3, 218
4, 1, 221
3, 4, 216
2, 3, 216
5, 2, 217
4, 2, 218
3, 2, 218
2, 2, 216
4, 1, 218
3, -1, 221
4, 0, 219
3, 1, 218
6, 2, 217
3, 2, 215
5, 1, 217
3, 2, 218
4, 2, 217
6, 1, 218
3, 3, 217
3, 3, 219
4, 3, 218
3, 1, 219
3, 2, 218
5, 1, 217
3, 1, 218
5, 2, 216
4, 2, 218
3, 2, 216
2, 1, 221
3, 1, 219
4, 1, 218
3, 2, 219
3, 1, 219
4, 1, 216
-3, 1, 219
5, 0, 220
3, 0, 217
4, 0, 218
-27, -2, 199
16, -5, 221
7, -1, 236
12, 2, 229
13, 8, 226
29, 13, 228
25, 34, 238
22, 66, 289
21, 23, 375
-2, 19, 359
6, 22, 384
2, 8, 379
10, -5, 375
18, -4, 324
21, -7, 305
30, -4, 309
27, 20, 286
6, 35, 258
6, 26, 239
16, 7, 199
21, -12, 201
17, -24, 143
17, -20, 110
15, -13, 101
11, 10, 80
6, 23, 74
9, 41, 86
17, 36, 112
15, 41, 114
7, 57, 133
3, 62, 135
3, 60, 144
3, 58, 144
7, 56, 154
10, 57, 173
8, 59, 191
13, 62, 197
12, 62, 200
15, 57, 200
15, 56, 197
15, 57, 201
18, 51, 204
17, 51, 199
19, 44, 195
18, 42, 191
18, 33, 186
18, 30, 185
15, 37, 175
14, 23, 168
19, 22, 165
18, 17, 157
15, 18, 144
14, 20, 136
15, 22, 129
16, 16, 138
17, 13, 151
18, 15, 160
8, 29, 171
6, 34, 182
3, 26, 196
6, 8, 204
10, -8, 232
7, -16, 243
4, -16, 247
-2, -14, 296
9, -15, 291
-14, -47, 281
5, -11, 318
-7, -42, 301
50, -125, 511
-66, 73, 447
3, -23, 216
14, 12, 265
-2, -45, 215
18, -2, 191
25, 25, 195
15, 5, 218
7, -1, 240
1, 5, 223
1, 1, 223
2, -2, 220
10, -5, 214
12, -2, 215
15, 2, 217
10, 2, 222
12, 2, 221
10, 3, 220
10, 1, 218
8, 1, 219
8, 2, 222
9, 2, 219
9, 1, 216
9, 1, 217
7, 0, 217
6, 1, 218
7, 0, 219
8, 1, 218
8, 2, 219
8, 3, 217
11, 2, 219
9, 1, 218
9, 1, 218
8, 1, 217
8, 3, 216
6, 1, 218
9, 1, 218
10, 2, 218
8, 0, 220
8, 1, 217
8, 1, 217
9, 3, 218
7, 3, 218
10, 3, 217
11, 0, 218
10, 1, 218
8, 2, 218
9, 1, 219
8, 1, 219
7, 1, 219
9, 2, 217
7, 2, 218
8, 1, 220
9, 2, 219
7, 1, 220
8, 1, 221
7, 0, 218
8, 1, 219
9, 1, 220
8, 1, 223
7, 2, 221
10, 3, 226
11, 6, 226
12, 8, 231
20, 18, 239
33, 1, 315
17, -6, 346
21, 21, 336
21, 3, 355
19, -9, 362
14, -5, 353
17, -11, 332
25, -2, 324
27, -13, 307
14, -2, 276
16, 1, 265
9, 10, 256
-1, 15, 216
5, 2, 212
5, -13, 205
2, -6, 159
-4, -6, 139
0, -13, 124
2, -24, 111
8, -14, 96
5, -6, 92
4, 6, 93
0, 19, 90
-1, 30, 104
0, 45, 124
2, 46, 139
1, 41, 145
3, 48, 155
0, 51, 169
-6, 52, 177
-5, 53, 185
0, 47, 210
0, 44, 210
-1, 40, 207
0, 35, 209
4, 35, 205
2, 31, 204
4, 33, 198
5, 31, 198
3, 32, 186
7, 27, 180
10, 22, 179
11, 16, 176
6, 13, 151
5, 16, 146
5, 13, 140
3, 11, 132
3, 5, 117
5, 1, 115
7, -9, 119
13, -16, 129
9, -12, 139
8, -2, 174
3, 5, 198
-8, 16, 206
-7, 19, 264
-6, 16, 273
