x,y,z
2, -5, 224
2, -5, 224
2, -7, 206
1, -9, 217
1, -9, 220
1, -11, 219
-1, -11, 219
1, -11, 219
-1, -9, 218
0, -8, 218
0, -9, 220
0, -6, 218
-1, -7, 217
-2, -7, 218
0, -10, 216
0, -11, 215
1, -13, 218
-1, -7, 216
0, -6, 214
1, -7, 216
2, -7, 218
0, -8, 215
0, -9, 219
0, -6, 217
1, -5, 215
-1, -9, 217
-1, -8, 215
0, -9, 216
0, -12, 221
0, -11, 218
1, -9, 217
0, -6, 216
1, -8, 218
1, -6, 216
-1, -5, 215
-4, -6, 215
1, -7, 219
2, -9, 216
0, -11, 220
1, -9, 219
2, -10, 214
1, -9, 214
3, -10, 215
1, -9, 218
1, -5, 218
0, -5, 218
0, -9, 218
-1, -8, 217
1, -7, 216
1, -12, 219
2, -11, 218
0, -8, 217
0, -7, 215
1, -9, 215
1, -8, 218
2, -7, 214
0, -6, 220
1, -7, 221
-3, -3, 224
-1, -2, 230
4, 1, 241
19, 16, 261
28, 15, 275
42, 10, 290
61, -21, 319
74, -11, 321
77, 5, 304
20, 2, 326
-30, 0, 351
-68, 11, 343
-77, 36, 307
-63, 37, 307
-84, -4, 277
-40, -21, 291
-11, -24, 191
-32, -32, 187
-91, -57, 174
-117, -58, 162
-122, -29, 111
-109, -17, 65
-104, -17, 33
-108, -17, 1
-114, -18, -12
-202, -20, 0
-226, 15, -66
-254, 68, -90
-257, 73, -109
-251, 86, -133
-265, 92, -137
-267, 100, -123
-315, 87, -111
-307, 105, -125
-294, 107, -123
-255, 99, -104
-222, 73, -75
-228, 65, -63
-244, 62, -45
-253, 57, -8
-250, 52, 9
-246, 45, 20
-233, 45, 39
-234, 41, 36
-224, 24, 58
-225, 25, 54
-199, 22, 91
-183, 18, 102
-163, 2, 113
-158, 0, 100
-153, -3, 90
-132, -16, 121
-119, -20, 165
-111, -4, 163
-98, 11, 147
-97, 5, 159
-109, -54, 208
-107, -53, 211
-71, -12, 216
-57, 6, 200
-32, 4, 199
-26, 0, 209
-33, 2, 200
-68, 7, 223
-74, 24, 225
-46, 47, 217
-20, 49, 208
-1, 42, 208
8, 11, 230
7, 11, 248
-4, 14, 250
2, 30, 260
4, 36, 260
1, 43, 254
-14, 38, 262
-34, 10, 253
-27, 5, 261
-12, 4, 256
-9, 0, 256
-10, -5, 266
-8, -8, 252
-9, -16, 258
-9, -17, 249
-2, -20, 236
2, -18, 236
-3, -25, 240
-10, -24, 240
-16, -15, 232
-15, -10, 231
-11, 1, 231
-10, -1, 226
0, 3, 222
9, 0, 231
16, -2, 234
17, 0, 245
13, 0, 258
-6, 15, 279
-11, 28, 287
-15, 28, 300
-22, 17, 317
-27, -2, 308
-11, -8, 318
-19, -11, 310
-22, 10, 269
-21, 20, 236
-18, 6, 223
-35, -3, 227
-65, -15, 221
-68, -20, 210
-66, -20, 194
-56, -18, 186
-75, -14, 149
-73, -13, 155
-69, -13, 111
-78, -17, 109
-108, -36, 114
-124, -36, 123
-148, -25, 100
-176, -8, 90
-178, -5, 60
-202, 15, 38
-199, 20, 23
-220, -2, 26
-311, 18, 38
-317, 50, 4
-307, 57, 16
-292, 34, 4
-260, 16, 12
-256, 17, 1
-259, 7, 11
-244, 0, 27
-235, 0, 30
-229, -3, 45
-222, -1, 59
-220, 3, 55
-198, 14, 59
-214, 2, 68
-200, 12, 63
-181, 12, 77
-180, 10, 94
-158, 8, 104
-151, 11, 113
-158, 4, 116
-152, 10, 115
-108, 15, 145
-93, 11, 140
-82, -5, 141
-76, -11, 143
-71, -7, 173
-64, -1, 173
-66, -6, 224
-69, -14, 229
-62, -9, 203
-55, -16, 195
-33, -36, 198
-17, -39, 215
7, -34, 250
23, -33, 238
31, -21, 229
41, -23, 242
39, -18, 243
15, -14, 259
10, -4, 264
0, -20, 286
0, -19, 287
2, -17, 277
0, -13, 267
-6, -10, 256
-8, -15, 260
-4, -13, 259
-8, -19, 264
-7, -25, 254
-3, -23, 241
0, -14, 231
1, -7, 223
0, -7, 225
-2, -7, 228
-16, -14, 231
-17, -13, 232
-15, -10, 219
-13, -8, 216
-14, -13, 223
-6, -10, 220
-4, -3, 219
1, 2, 222
0, 5, 230
2, 8, 238
-8, -2, 257
-6, 0, 263
1, 7, 261
1, 15, 255
0, 20, 274
-3, 18, 294
-13, 13, 305
-35, -8, 316
-41, -21, 323
-57, 1, 281
-64, -8, 281
-58, -17, 273
-63, -25, 249
-79, -50, 228
-87, -39, 205
-94, -27, 185
-98, -29, 170
-93, -19, 153
-93, -22, 130
-104, -39, 113
-119, -40, 92
-169, -44, 56
-210, -21, 13
-202, 0, 9
-204, 3, 0
-197, 10, -4
-195, 8, -3
-201, 6, -7
-230, -3, -25
-249, 0, -39
-266, 27, -34
-274, 35, -42
-293, 48, -43
-294, 42, -44
-274, 36, -33
-261, 31, -19
-249, 30, -21
-246, 38, -21
-253, 37, -9
-259, 42, 0
-265, 42, 4
-262, 42, 14
-236, 17, 34
-221, 13, 40
-204, -7, 43
-203, -11, 56
-214, 13, 64
-220, 14, 92
-207, 10, 90
-156, -1, 102
-134, -16, 110
-113, -29, 140
-84, -2, 129
-74, 4, 142
-65, -19, 172
-61, -46, 172
-39, -42, 187
-38, -29, 202
-49, -2, 207
-42, 6, 195
-21, 6, 203
-4, 2, 211
-6, -2, 244
-17, -7, 262
-31, -6, 252
-25, 0, 251
0, 15, 238
4, 15, 243
8, 10, 240
9, 5, 240
8, -9, 272
13, -14, 268
17, -12, 267
30, -5, 256
29, -7, 259
27, 1, 257
14, -14, 290
2, -39, 317
-1, -43, 313
-17, -20, 301
-20, -4, 271
-3, 6, 234
6, 9, 227
11, 16, 210
16, 26, 193
14, 30, 186
14, 30, 190
7, 15, 198
3, 10, 205
2, 5, 204
2, 0, 203
6, -8, 209
4, -11, 216
8, -8, 214
10, -12, 221
4, -15, 227
2, -10, 228
1, -8, 225
0, -3, 225
0, -1, 225
-4, -2, 226
0, 0, 222
1, -3, 219
1, -1, 215
7, -3, 216
5, -6, 216
5, -8, 218
2, -6, 222
-1, -4, 215
-4, -4, 213
-1, -4, 216
0, -3, 216
-1, -4, 213
2, -4, 215
2, -4, 213
2, -2, 218
1, -1, 216
0, 2, 217
-3, 3, 218
-5, 1, 220
-5, 0, 217
-2, 1, 218
-5, 5, 221
-3, 4, 217
-1, 2, 218
0, 0, 223
4, -3, 218
9, -2, 228
10, -2, 232
12, 0, 241
12, 3, 253
15, 24, 276
19, 29, 294
25, 36, 302
8, 31, 310
5, 17, 309
2, 5, 312
1, 1, 330
-23, -4, 317
-20, 1, 303
-17, 9, 289
-19, 2, 251
-24, -3, 221
-22, -6, 201
-58, -20, 195
-83, -38, 205
-113, -38, 161
-114, -53, 136
-101, -59, 137
-93, -49, 110
-103, -37, 81
-120, -21, 61
-135, -10, 44
-142, -6, 41
-197, -29, 24
-225, -20, 13
-253, 21, -12
-265, 34, -31
-285, 43, -35
-296, 43, -33
-303, 46, -27
-297, 46, -24
-276, 35, -32
-269, 33, -25
-253, 35, -23
-242, 36, -1
-241, 41, -2
-224, 50, 12
-219, 48, 23
-208, 41, 30
-205, 21, 41
-206, 14, 52
-185, 26, 62
-177, 15, 83
-160, 24, 107
-140, 31, 115
-135, 4, 125
-130, 2, 121
-129, -13, 155
-119, -29, 167
-75, -40, 168
-68, -44, 188
-66, -14, 176
-36, 26, 199
-22, 43, 223
-16, 51, 238
-13, 61, 237
-7, 52, 234
-2, 33, 238
12, 31, 247
10, 36, 256
39, 42, 257
51, 45, 260
53, 42, 263
51, 38, 254
41, 33, 261
31, 43, 268
8, 46, 271
6, 37, 274
12, 33, 273
13, 18, 261
17, 12, 258
15, 11, 254
18, 15, 232
20, 28, 225
21, 15, 232
22, 15, 235
16, 11, 231
12, 11, 221
14, 14, 222
11, 17, 221
12, 18, 214
7, 12, 219
8, 10, 223
4, 7, 218
6, 10, 219
4, 18, 211
5, 21, 207
6, 19, 214
8, 19, 220
-2, 25, 217
-1, 30, 213
-3, 32, 221
1, 25, 214
5, 19, 219
7, 19, 223
6, 20, 219
3, 22, 218
6, 22, 216
5, 19, 215
8, 17, 216
6, 17, 218
9, 18, 219
7, 20, 222
4, 21, 224
2, 21, 221
4, 25, 227
7, 28, 228
16, 33, 231
21, 37, 240
15, 44, 254
9, 42, 255
12, 39, 257
21, 13, 286
27, 17, 290
10, 16, 282
5, 31, 304
-3, 38, 316
-16, 47, 308
-39, 52, 257
-58, 39, 255
-82, -8, 257
-90, -8, 231
-95, -3, 196
-85, -17, 203
-125, 1, 165
-114, 3, 174
-122, -16, 152
-131, -40, 134
-148, -50, 98
-152, -39, 87
-153, -7, 39
-157, 0, 20
-170, -2, 1
-191, -11, 5
-213, -14, 4
-232, 0, -32
-250, 7, -35
-284, 18, -51
-282, 32, -60
-287, 30, -64
-290, 37, -72
-281, 45, -76
-301, 30, -70
-305, 39, -68
-281, 48, -59
-265, 46, -54
-240, 42, -34
-235, 45, -27
-237, 43, -5
-230, 40, -2
-210, 28, 10
-200, 24, -13
-207, 33, 39
-212, 42, 54
-198, 25, 81
-181, 17, 90
-189, 6, 103
-151, 11, 91
-113, 26, 77
-91, 2, 143
-84, -18, 181
-49, -17, 183
-46, -19, 193
-30, -4, 194
-28, 15, 187
-21, 28, 209
-16, 41, 203
-4, 42, 217
7, 30, 240
20, 41, 242
28, 39, 235
29, 35, 243
29, 31, 254
