x,y,z
-15, -24, 218
-15, -24, 218
-16, -32, 205
-18, -34, 206
-18, -25, 213
-18, -25, 220
-15, -23, 222
-17, -23, 223
-20, -25, 216
-22, -24, 216
-22, -25, 220
-19, -29, 220
-19, -30, 210
-20, -31, 205
-20, -29, 209
-13, -24, 214
-15, -24, 217
-23, -22, 216
-20, -25, 216
-17, -25, 212
-18, -29, 219
-17, -26, 214
-22, -26, 214
-20, -26, 211
-16, -31, 218
-20, -27, 211
-20, -25, 214
-18, -28, 215
-19, -27, 220
-17, -27, 217
-20, -26, 214
-20, -27, 218
-20, -26, 220
-15, -27, 212
-14, -30, 213
-22, -28, 212
-21, -25, 213
-20, -24, 214
-19, -26, 218
-15, -28, 210
-15, -29, 213
-15, -22, 217
-19, -19, 221
-19, -16, 217
-22, -26, 221
-17, -28, 215
-23, -28, 207
-20, -27, 206
-23, -31, 213
-22, -27, 217
-19, -24, 217
-22, -26, 209
-21, -29, 208
-21, -27, 217
-18, -25, 224
-19, -23, 215
-22, -25, 213
-20, -29, 213
-23, -27, 215
-24, -23, 214
-21, -26, 212
-24, -29, 204
-23, -30, 211
-21, -28, 212
-23, -26, 217
-25, -23, 219
-22, -25, 214
-25, -30, 213
-23, -29, 212
-24, -29, 213
-23, -24, 216
-25, -24, 214
-24, -29, 209
-27, -30, 215
-24, -23, 217
-22, -11, 231
-24, -18, 230
-37, -41, 197
-43, -55, 179
-45, -68, 168
-42, -70, 155
-33, -74, 143
14, -36, 128
37, -29, 122
68, -40, 130
129, -41, 158
136, -34, 150
145, 2, 100
165, 28, 70
202, 70, 54
231, 88, 65
259, 93, 84
277, 81, 99
275, 88, 126
319, 99, 179
436, 31, 324
450, -25, 375
390, -37, 389
362, 19, 309
314, 114, 80
298, 129, -21
231, 84, -105
197, 34, -93
211, -31, 24
234, -28, 89
265, 0, 139
279, 29, 151
270, 16, 118
269, 44, 127
260, 48, 150
261, 5, 205
252, -1, 207
231, 22, 174
223, 34, 154
198, 16, 146
197, 6, 145
201, 1, 167
174, -6, 184
149, 7, 204
88, 21, 188
63, 20, 181
51, 20, 163
15, -55, 163
-1, -61, 163
-20, -60, 160
-30, -65, 160
-8, -44, 151
-9, -49, 178
-44, -47, 226
-54, -47, 207
-32, -40, 204
-24, -33, 206
-19, -36, 195
-14, -41, 182
-37, -49, 190
-46, -36, 191
-31, -25, 208
-24, -21, 212
-21, -24, 197
-37, -34, 180
-52, -37, 193
-64, -33, 217
-62, -24, 221
-55, -18, 212
-54, -24, 218
-52, -42, 202
-58, -42, 196
-58, -49, 201
-52, -35, 198
-52, -32, 210
-46, -28, 208
-43, -34, 214
-49, -30, 212
-46, -29, 206
-52, -28, 206
-52, -27, 210
-50, -31, 223
-48, -20, 218
-44, -24, 214
-47, -33, 212
-59, -18, 195
-53, -41, 205
-48, -41, 201
-44, -32, 207
-44, -27, 214
-51, -25, 212
