x,y,z
-4, -1, 227
-4, -1, 227
-5, -3, 207
-3, -1, 215
0, -5, 217
-1, -4, 215
-2, -6, 219
-6, -4, 220
-4, -4, 217
-3, -5, 217
-5, -5, 217
-7, -4, 222
-6, -4, 221
-7, -2, 219
-6, -2, 219
-6, -2, 218
-3, -1, 218
-3, -3, 217
-6, -3, 220
-2, -3, 217
-2, -5, 216
0, -6, 215
-2, -5, 215
-1, -6, 216
-2, -4, 217
-4, -3, 215
-2, -1, 216
-2, -1, 215
-3, -1, 217
-2, -2, 216
-3, -1, 217
-3, -5, 217
-6, -3, 218
-6, -5, 220
-7, -5, 221
-2, -6, 218
-2, -3, 216
-4, -2, 214
-4, -2, 219
-2, -3, 219
-1, -3, 216
-5, -4, 215
-4, -4, 218
-3, -2, 218
-5, -4, 216
-5, -3, 217
-3, -4, 214
-5, -6, 218
-2, -4, 216
-1, -3, 214
-4, -4, 216
-3, -3, 217
-3, -1, 216
-6, -2, 219
-5, -3, 219
-5, -3, 219
-3, -3, 214
-3, -5, 217
-3, -2, 216
0, -6, 215
-3, -6, 216
-6, -5, 220
-6, -5, 218
-3, -4, 216
-4, -3, 221
-4, -5, 217
-4, -5, 222
-5, -3, 217
-3, -5, 222
-4, 1, 214
-4, -1, 213
-2, -4, 216
-2, -4, 219
-2, -4, 217
-5, -13, 220
1, -2, 224
-3, -7, 222
-3, -4, 224
1, -4, 219
-4, -14, 225
-16, -7, 239
-13, 1, 227
-15, 2, 234
-13, 1, 232
-13, 5, 226
-12, 9, 235
-17, 14, 232
-23, 20, 247
-19, 39, 230
-24, 35, 242
-25, 37, 244
-21, 32, 239
-17, 48, 226
-27, 58, 221
-31, 61, 232
-6, 75, 200
-4, 77, 200
0, 74, 207
7, 73, 198
2, 86, 205
-9, 107, 183
-26, 138, 164
-30, 183, 140
-43, 156, 185
-36, 151, 171
-16, 166, 133
-22, 161, 145
-25, 191, 133
-28, 184, 118
-41, 213, 99
-45, 215, 102
-53, 216, 116
-53, 216, 72
-38, 235, 58
-52, 245, 50
-71, 265, 18
-82, 280, 9
-90, 279, -7
-84, 278, -10
-55, 242, -32
-36, 239, -32
-34, 251, -52
-54, 266, -69
-91, 291, -119
-89, 283, -113
-65, 224, -99
-27, 243, -114
-45, 256, -131
-60, 257, -142
-50, 219, -172
-33, 212, -178
-18, 160, -171
-7, 139, -204
-8, 159, -234
-46, 169, -251
-48, 154, -242
-20, 115, -250
-32, 114, -247
-33, 116, -262
-44, 117, -271
-34, 82, -286
-30, 63, -270
-48, 62, -300
-58, 67, -299
-44, 60, -283
-42, 34, -275
-40, -1, -275
-54, 6, -285
-54, 6, -298
-59, 5, -291
-61, -13, -292
-59, -25, -296
-64, -18, -260
-48, -10, -251
-55, -48, -255
-62, -52, -255
-56, -57, -286
-51, -68, -286
-60, -74, -262
-62, -82, -249
-65, -88, -248
-50, -91, -271
-39, -97, -275
-50, -100, -268
-53, -99, -276
-56, -102, -275
-65, -103, -257
-61, -82, -257
-62, -62, -275
-33, -66, -298
-36, -68, -321
-71, -59, -238
-71, -35, -281
-72, -19, -251
-58, 1, -314
-70, 22, -316
-100, 39, -298
-102, 32, -252
-82, 60, -215
-50, 80, -217
-48, 109, -229
-55, 121, -239
-59, 121, -201
-54, 134, -196
-53, 173, -227
-62, 182, -194
-80, 192, -175
-56, 215, -201
-63, 228, -194
-57, 238, -178
-82, 243, -115
-57, 214, -114
-19, 219, -95
12, 232, -115
-12, 250, -109
-217, 302, 58
-137, 317, 28
-35, 260, 32
-40, 236, 24
0, 240, 49
15, 225, 25
8, 199, 40
-63, 169, 200
-49, 154, 162
-29, 195, 127
-40, 211, 109
-23, 223, 123
-21, 182, 123
-61, 122, 224
-66, 104, 239
-50, 110, 193
-26, 106, 216
-25, 104, 207
5, 78, 135
-4, 43, 191
-17, 8, 281
-35, 9, 257
-49, 53, 233
-67, 74, 212
-33, 65, 195
-17, 42, 200
-26, -12, 274
-40, -4, 270
-42, 15, 231
-25, 16, 205
17, 8, 159
15, -8, 203
4, -15, 235
-8, -23, 245
-28, -8, 227
-16, -14, 215
-2, -20, 224
-4, -18, 224
-18, -6, 225
-16, -5, 221
-17, -14, 232
-17, -18, 237
-21, -32, 243
-19, -35, 236
-7, -27, 219
-7, -17, 199
-6, -27, 206
-7, -27, 213
-21, -23, 225
-21, -19, 227
-8, -27, 213
-4, -28, 212
-3, -25, 209
-9, -20, 214
-14, -12, 215
-19, -13, 219
-15, -16, 217
-14, -17, 212
-10, -17, 211
-8, -20, 219
-8, -15, 208
-7, -16, 212
